left	right
19318	1269
75583	45625
85367	97447
83989	11004
57495	26818
79023	93842
35149	34542
87052	40479
21743	685
43069	61079
69323	43790
12412	17762
12406	91482
55880	86690
63737	54680
35786	98694
32235	29215
48061	38884
44044	39851
46277	30033
12726	27684
48077	66176
54436	40802
65349	77042
46809	53897
50746	72499
2475	18702
23750	79931
48166	26386
20615	17880
14275	68297
32699	94231
32212	81404
63996	19865
65189	28179
36469	17267
8700	59875
57462	79995
52558	76924
75265	68014
83570	85943
15034	24151
17944	12189
84943	15178
67946	5307
42024	14977
22106	3271
87804	93537
60653	47041
5086	37529
55845	28124
44344	81909
92348	16243
73302	75387
44194	11715
40882	13223
10075	98071
75454	87785
38539	49310
96449	5855
94659	11147
16020	16981
53062	31559
44236	9617
96502	42153
10482	50334
39706	30263
50635	99778
6478	8299
53701	71194
61713	13296
48266	79047
96752	96529
33755	19205
43197	47541
57471	67974
13093	18413
73056	45492
47096	98553
43424	98133
29544	31114
40432	99165
35415	86383
73688	48369
75438	27932
81660	85254
29006	83461
91359	34849
48281	75201
32315	71330
60181	49615
38401	62701
30662	29576
99384	2536
10796	43463
88815	61535
45771	38181
41656	98741
48538	51635
59543	29392
71378	60612
99036	13314
32584	6984
87484	47951
70453	90279
18139	9215
60155	78284
26229	24131
89696	47291
99783	87342
73266	11348
8935	26989
5356	67876
80649	62795
42776	51498
46438	81382
5953	29096
20829	18718
45285	38633
69633	75970
53150	716
15407	15601
99875	39702
9317	82817
51084	70537
35541	50416
38542	4879
38378	77509
16339	56796
25521	62139
19723	65300
12447	18232
94102	12796
60191	43685
6527	35124
56907	91780
30423	70168
90264	20179
88872	40456
44862	90085
53696	50551
12870	43090
30439	29121
7751	49390
24555	64790
97995	31456
53413	47746
13294	30427
21203	80976
96736	883
55801	38263
54474	1866
90166	24968
52580	54462
47259	73095
93503	31850
11569	4367
31812	29690
48280	16962
28017	46573
1958	52274
52174	70813
11031	45916
7445	84803
4886	25333
70140	14756
42680	30598
18757	58962
2944	37570
95247	71852
52188	58324
13530	47463
48181	59692
8685	13689
811	76746
63576	46903
4323	61392
95461	20360
75867	55607
31609	52027
74280	61543
65190	68193
26045	21781
20668	72891
75748	48703
16877	32548
44986	84188
19139	74096
68494	61400
94106	39158
65307	2076
15547	70588
80457	86296
2066	87417
27508	36117
73742	96839
41706	78369
44805	1148
46666	59015
43077	13672
43127	8389
47286	20748
44960	43150
26609	28373
50014	28211
6709	29222
7644	50326
80718	35420
25542	46766
63940	44600
90497	81395
26162	11062
66869	80415
13171	80353
84695	62538
37165	40654
4039	50206
47007	79751
85977	38631
66951	5040
27967	67533
79182	27370
33814	83211
29172	79097
95687	63679
44051	92266
11317	48301
1794	13381
43875	67965
35779	69755
97790	44206
32096	291
59302	8125
77349	25528
67113	6956
96162	36294
12339	55018
59123	34330
40223	33685
34417	52149
97158	78856
71717	91417
64322	93589
79752	69216
53072	14500
30648	34333
46931	89872
3906	26162
18921	32581
30663	70761
87084	24147
19498	49085
69555	80431
9197	70403
47337	39867
43407	79238
66164	51186
9868	72227
95942	45737
33684	52684
73090	11891
1825	451
80016	40072
29832	62551
57988	7081
26960	62435
67290	49995
86886	35991
66270	32032
77562	5957
70655	27796
82135	96687
60788	29244
59641	78413
4739	88566
33582	77461
46112	2711
77826	77712
54125	40989
52600	74950
17142	14638
15260	27517
39184	52405
71500	12640
89439	91823
36036	37351
6451	7916
9828	51538
41379	35696
49753	77675
52949	29805
64335	29698
29453	36317
44825	66631
84736	3582
87342	94313
54537	2313
20151	88470
21261	33794
92794	82206
